"filename", "language", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/eventTracking/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/eventTracking/eventTracking.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/eventTracking/eventTracking.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/eventTracking/eventTracking.middleware.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/eventTracking/eventTracking.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/eventTracking/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/index.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/pageviews/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/pageviews/pageviews.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/pageviews/pageviews.dal.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/pageviews/pageviews.middleware.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/pageviews/pageviews.service.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/pageviews/readme.md", "Markdown", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/visitorTracking/container.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/visitorTracking/readme.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/visitorTracking/visitorTracking.controller.ts", "TypeScript", 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/KashleyEssentialExpressServer/features/analytics/visitorTracking/visitorTracking.dal.ts", "TypeScript", 0, 0, 0, 1, 1
